fold,feature,feature_family,test_rows,test_positive,fold_roc_auc,fold_average_precision,permutation_ap_mean,permutation_ap_std,permutation_roc_mean,permutation_roc_std,impurity_importance
3,title_is_bilingual,title_language,23,6,0.6764705882352942,0.4269841269841269,-0.004986338395007138,0.012398123041156374,-0.0023529411764705555,0.01323493100445976,0.014503637823342748
3,category_classic_fusion,category_context,23,6,0.6764705882352942,0.4269841269841269,8.02005012531315e-05,0.0009879138469568018,0.0,0.004802921064280724,0.0090412443764347
3,category_pop,category_context,23,6,0.6764705882352942,0.4269841269841269,0.004567251461988262,0.021631291985967367,0.010000000000000016,0.012781245872731188,0.018732887258133952
3,category_rap_hiphop,category_context,23,6,0.6764705882352942,0.4269841269841269,0.0020016708437760756,0.017283152292862175,-0.0005882352941176361,0.008413112922715646,0.0176110113420597
4,strategy_rz_duration_minutes,duration,23,6,0.7450980392156863,0.5352813852813852,0.1266561545179966,0.08383279384451339,0.15784313725490198,0.06063390625908324,0.15897323621100115
4,strategy_rz_release_hour_tehran,timing,23,6,0.7450980392156863,0.5352813852813852,-0.01347386872386875,0.08750708079536193,-0.03411764705882349,0.04142037937728906,0.11630022031202945
4,strategy_rz_days_since_previous_release_imputed,release_cadence,23,6,0.7450980392156863,0.5352813852813852,-0.011990712990713028,0.062334858531316276,-0.018039215686274472,0.02247301769708925,0.14977954140544328
4,strategy_rz_title_character_count,title_structure,23,6,0.7450980392156863,0.5352813852813852,-0.04872493029845973,0.06679074026718618,-0.011568627450980378,0.02044205809919897,0.12217681220025686
4,strategy_rz_title_word_count,title_structure,23,6,0.7450980392156863,0.5352813852813852,0.015565521080226947,0.07423971809083812,-0.00549019607843136,0.02122362216115262,0.0877129324578355
4,is_iran_weekend_release,timing,23,6,0.7450980392156863,0.5352813852813852,-0.01865255496137853,0.02844530188418877,0.011764705882352957,0.01686730444518162,0.019271255720516293
4,days_since_previous_release_missing,release_cadence,23,6,0.7450980392156863,0.5352813852813852,0.010640331890331874,0.0277030791431127,0.0027450980392156833,0.007852935056666961,0.005364244744327311
4,title_has_official,title_format,23,6,0.7450980392156863,0.5352813852813852,-0.011365079365079397,0.013900054468789821,0.003921568627450975,0.007594084992563554,0.01384047250958131
4,title_has_music_video,title_format,23,6,0.7450980392156863,0.5352813852813852,0.0782626779650605,0.09080429425374298,0.14333333333333337,0.09593606899842835,0.19743574110051562
